xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx || x || x
0000000011100111000000000000000000000000000000001110011100000000 1000000000000100001100001000000000000000000000000000010000110000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000001000011000010000000000000000000000000000100001100001 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000010000110000100000000000000000000000000001000011000010 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000100001100001000000000000000000000000000010000110000100 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000001000011000010000000000000000000000000000100001100001000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000010000110000100000000000000000000000000001000011000010000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000100001100001000000000000000000000000000010000110000100000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000001000011000010000000000000000000000000000100001100001000000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000010000110000100000000000000000000000000001000011000010000000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000100001100001000000000000000000000000000010000110000100000000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0001000011000010000000000000000000000000000100001100001000000001 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0010000110000100000000000000000000000000001000011000010000000011 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0100001100001000000000000000000000000000010000110000100000000110 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1000011000010000000000000000000000000000100001100001000000001101 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000110000100000000000000000000000000001000011000010000000011011 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0001100001000000000000000000000000000010000110000100000000110111 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0011000010000000000000000000000000000100001100001000000001101110 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0110000100000000000000000000000000001000011000010000000011011101 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1100001000000000000000000000000000010000110000100000000110111011 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1000010000000000000000000000000000100001100001000000001101110110 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000100000000000000000000000000001000011000010000000011011101101 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0001000000000000000000000000000010000110000100000000110111011011 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0010000000000000000000000000000100001100001000000001101110110111 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0100000000000000000000000000001000011000010000000011011101101110 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1000000000000000000000000000010000110000100000000110111011011101 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000000000000100001100001000000001101110110111011 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000000000001000011000010000000011011101101110110 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000000000010000110000100000000110111011011101100 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000000000100001100001000000001101110110111011000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000000001000011000010000000011011101101110110000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000000010000110000100000000110111011011101100000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000000100001100001000000001101110110111011000000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000001000011000010000000011011101101110110000000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000010000110000100000000110111011011101100000000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000100001100001000000001101110110111011000000000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000001000011000010000000011011101101110110000000000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000010000110000100000000110111011011101100000000000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000100001100001000000001101110110111011000000000000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000001000011000010000000011011101101110110000000000000 || 0 || 1
